Time,Acc
12.52,0.013469
12.53,0.01247
12.54,0.007472
12.55,0.004474
12.56,-0.001525
12.57,-0.000523
12.58,-0.007521
12.59,-0.00752
12.6,-0.006518
12.61,-0.010516
12.62,-0.011515
12.63,-0.006513
12.64,-0.009511
12.65,-0.00551
12.66,-0.000508
12.67,0.006494
12.68,0.001496
12.69,0.001497
12.7,0.003499
12.71,0.001501
12.72,0.010502
12.73,0.007504
12.74,0.002506
12.75,0.001507
12.76,0.004509
12.77,0.006511
12.78,0.002512
12.79,-0.001486
12.8,-0.002484
12.81,-0.000483
12.82,-0.000481
12.83,-0.000479
12.84,0.002523
12.85,0.002524
12.86,0.001526
12.87,-0.000472
12.88,0.001529
12.89,0.001531
12.9,-0.001467
12.91,-0.000466
12.92,-0.004464
12.93,-0.004462
12.94,-0.004461
12.95,-0.004459
12.96,-0.002457
12.97,-0.002456
12.98,-0.001454
12.99,0.001548
13,0.003549
13.01,0.002551
13.02,0.001553
13.03,0.003555
13.04,0.003556
13.05,0.006558
13.06,0.00756
13.07,-0.000439
13.08,-0.001437
13.09,-0.000435
13.1,0.001566
13.11,-0.001432
13.12,-0.00043
13.13,-0.000429
13.14,-0.001427
13.15,-0.004425
13.16,-0.001424
13.17,-0.004422
13.18,0.00358
13.19,-0.005418
13.2,-0.004417
13.21,-0.002415
13.22,-0.002413
13.23,-0.002412
13.24,-0.00241
13.25,-0.002408
13.26,-0.000407
13.27,0.001595
13.28,0.004597
13.29,0.001598
13.3,0.0046
13.31,-0.000398
13.32,-0.001397
13.33,-0.001395
13.34,-0.001393
13.35,-0.004391
13.36,-0.00739
13.37,-0.006388
13.38,-0.005386
13.39,-0.002385
13.4,-0.000383
13.41,0.002619
13.42,-0.00138
13.43,-0.000378
13.44,0.002624
13.45,0.002625
13.46,-0.000373
13.47,-0.000371
13.48,-0.00037
13.49,-0.001368
13.5,-0.000366
13.51,-0.000365
13.52,0.003637
13.53,-0.001361
13.54,0.001641
13.55,0.001642
13.56,0.004644
13.57,0.002646
13.58,0.003647
13.59,0.002649
13.6,-0.000349
13.61,0.006652
13.62,0.007654
13.63,0.006656
13.64,0.001657
13.65,0.001659
13.66,0.001661
13.67,-0.001338
