Time(s),Acceleration
90.45,-0.004934352
90.46,-0.00412115
90.47,-0.00320593
90.48,-0.002226803
90.49,-0.001221825
90.5,-0.000227441
90.51,0.000722714
90.52,0.001598799
90.53,0.002375688
90.54,0.003033894
90.55,0.00356044
90.56,0.003949449
90.57,0.004202182
90.58,0.004326278
90.59,0.004334113
90.6,0.004240466
90.61,0.004059913
90.62,0.003804522
90.63,0.003482457
90.64,0.00309789
90.65,0.002652354
90.66,0.002147258
90.67,0.001586983
90.68,0.000981803
90.69,0.000349843
90.7,-0.000282489
90.71,-0.000881841
90.72,-0.001410894
90.73,-0.001832486
90.74,-0.002114193
90.75,-0.002232587
90.76,-0.002176501
90.77,-0.001948844
90.78,-0.001566758
90.79,-0.001060197
90.8,-0.00046921
90.81,0.000159678
90.82,0.000777519
90.83,0.001337018
90.84,0.001796227
90.85,0.002121593
90.86,0.002290103
90.87,0.002290408
90.88,0.002122872
90.89,0.001798604
90.9,0.001337658
90.91,0.00076669
90.92,0.000116422
90.93,-0.000580735
90.94,-0.001292603
90.95,-0.001988585
90.96,-0.002640427
90.97,-0.003222586
90.98,-0.003712446
90.99,-0.00409063
91,-0.004341564
91.01,-0.0044543
91.02,-0.004423443
91.03,-0.004249899
91.04,-0.003941166
91.05,-0.003510922
91.06,-0.002977859
91.07,-0.002363871
91.08,-0.00169192
91.09,-0.000983972
91.1,-0.000259413
91.11,0.00046576
91.12,0.00117885
91.13,0.001869585
91.14,0.0025287
91.15,0.003146393
91.16,0.003711006
91.17,0.004208301
91.18,0.004621478
91.19,0.004932021
91.2,0.005121233
91.21,0.005172287
91.22,0.005072495
91.23,0.004815493
91.24,0.004403056
91.25,0.003846259
91.26,0.003165771
91.27,0.002391149
